の|of
差別|discrimination
偏見|prejudice
人権|human rights
民主主義|democracy
独裁|dictatorship
自由|freedom
権利|rights
義務|obligation
責任|responsibility
道徳|morality
倫理|ethics
良心|conscience
正直|honesty
誠実|sincerity
嘘つき|liar
裏切り|betrayal
忠誠|loyalty
友情|friendship
恋愛|romance
デート|date
プロポーズ|proposal
婚約|engagement
新婚|newlywed
夫婦|married couple
離婚|divorce
別居|separation
単身|single
独身|bachelor
寡婦|widow
孤児|orphan
養子|adopted child
継父|stepfather
継母|stepmother
義理の父|father-in-law
義理の母|mother-in-law
義理の兄弟|brother-in-law
義理の姉妹|sister-in-law
親戚|relatives
従兄弟|cousin
叔父|uncle
叔母|aunt
祖父|grandfather
祖母|grandmother
曾祖父|great-grandfather
曾祖母|great-grandmother
孫|grandchild
曾孫|great-grandchild
世代|generation
血統|bloodline
遺伝|heredity
DNA|DNA
遺伝子|gene
突然変異|mutation
進化|evolution
自然選択|natural selection
適者生存|survival of the fittest
生態系|ecosystem
環境|environment
気候変動|climate change
地球温暖化|global warming
温室効果|greenhouse effect
オゾン層|ozone layer
酸性雨|acid rain
大気汚染|air pollution
水質汚染|water pollution
土壌汚染|soil pollution
放射能|radioactivity
原子力|nuclear power
原子炉|nuclear reactor
核廃棄物|nuclear waste
リサイクル|recycling
省エネ|energy saving
再生可能エネルギー|renewable energy
太陽光発電|solar power
風力発電|wind power
水力発電|hydroelectric power
地熱|geothermal
バイオ燃料|biofuel
持続可能|sustainable
エコロジー|ecology
自然保護|nature conservation
野生動物|wildlife
絶滅危惧種|endangered species
密猟|poaching
森林伐採|deforestation
砂漠化|desertification
干ばつ|drought
洪水|flood
津波|tsunami
火山|volcano
噴火|eruption
溶岩|lava
マグマ|magma
鉱物|mineral
石油|petroleum
天然ガス|natural gas
石炭|coal
金|gold
銀|silver
銅|copper
鉄|iron
アルミニウム|aluminum
プラチナ|platinum
ダイヤモンド|diamond
宝石|jewelry
真珠|pearl
サファイア|sapphire
ルビー|ruby
エメラルド|emerald
水晶|crystal
大理石|marble
花崗岩|granite
砂岩|sandstone
石灰岩|limestone
粘土|clay
砂|sand
砂利|gravel
セメント|cement
コンクリート|concrete
鋼鉄|steel
合金|alloy
プラスチック|plastic
ゴム|rubber
ガラス|glass
陶器|pottery
磁器|porcelain
木材|lumber
竹|bamboo
紙|paper
段ボール|cardboard
布|cloth
綿|cotton
絹|silk
羊毛|wool
皮革|leather
毛皮|fur
化学繊維|synthetic fiber
ナイロン|nylon
ポリエステル|polyester
